"","LUAD16T","LUAD18T","LUAD1T","LUAD23T","PDO1","PDO2","PDO4","PDO5","PDO6","PDO23_MDO1_DIAPH","PDO23_MDO1_Liver","PDO23_MDO2_Brain","PDO6_MDO_Brain","PDO23_MDO3_GB"
"RP11-492E3.2",0.214303737578328,1.20308425563651,1.40608908448852,0.607494434707688,0.488168160195462,0.310770906596785,2.07148276679428,0,2.21912023105926,1.51690387516514,0.982085049124962,1.07766367516282,3.86873436797811,1.15183597956835
"RP4-781K5.8",1.18976197132099,0.656288819118058,1.08550679526943,0.497135601857676,0.852258954602379,1.35749967815578,0.67861018563936,0.411379750449019,0.630791371103574,0.971523030455157,0.14099464510807,0.609831494124346,1.28029751726987,0.134558978705204
"SOX21-AS1",0,0.201968697028696,0,1.23046607691719,3.16770222044919,1.97985574425727,5.94783067008894,4.67238672524697,3.06576585321996,0.678584424063416,1.83456024736513,0.0819578074275928,1.72833064053778,3.9557723749969
"MIR3916",3.54220454984428,2.24995296427096,3.57181908837844,4.41589521602821,4.45539049875952,4.556718612852,4.29904258723814,3.47847770719765,4.92460459835606,4.08535005258375,4.1061038097525,4.18933155349266,4.69886101715398,4.46379726575081
"AC005884.1",0,0,0,0.201135845096346,0,0,0,0,0,2.58128340690529,2.26261584331275,2.38090883958701,0,2.65050909059118
"RP11-354K1.1",0,0,0,0.607494434707688,0,0,0,0,0,1.51690387516514,0.737533578208407,1.03714455769845,0,0.709662697260093
"HCG4P5",7.66662628820045,3.13567212862684,1.03992005356155,3.5663553720415,1.38440957373311,1.63377540401715,2.16031242585879,2.04774525266351,1.70247642730444,1.13824894568437,0.864984866695228,1.26476612819935,1.32015712215394,0.910590438553859
"RP1-283E3.4",1.23953428507597,1.6798358950806,1.57541554686607,1.03366729693862,2.00718491932375,1.84156295166868,2.67928275399421,0.931593904246507,1.95007284783778,0,0.269428355484675,0,2.52681218487192,0
"AC012358.4",0.310591196650627,0.406621955237927,0.893822239043575,0.676639645285526,0.740802003560225,1.13871722757863,1.13828641086685,0.580083438551531,0.740093363792366,0.163645184848627,0.496370596141038,0.159508906926231,1.23930528132021,0.134558978705204
"SLC9A7P1",0.214303737578328,0.745195337702251,0.73124500635757,1.31963579615467,0.555593541832155,0.783340103154744,0.0931991317607424,0,0.981822294317925,1.51690387516514,1.58590901659988,1.90585596423227,0.689193305671125,1.08692479622895
"RPL3P2",0,0,0,0.80571793756088,0,0,0.0931991317607424,0,0.0853361371976125,2.42871862198314,2.60452707171436,2.91586221139808,0,2.65050909059118
"AC007383.3",1.73208953115112,1.85983893032447,0.672709519361798,1.40361348774887,1.98289688065686,1.68859460955589,1.679058599379,0.992675205059607,0.740093363792366,2.58128340690529,2.21555745934397,2.38090883958701,0.626989737246253,2.48403182680851
"RP11-276H7.2",0.310591196650627,0.406621955237927,0.611698223913443,0.153419248706515,1.38440957373311,0.832852376023809,0.737539752921527,1.690287762198,1.10953651236971,0.0841416378076848,0,0,1.23930528132021,0.0688476967025636
"RP11-222A11.1",0,0.701426831457318,1.03992005356155,0.0529733492235183,0.417436450404331,0.732068030169232,1.34190562199783,0.411379750449019,0.572869514216453,0.0841416378076848,0,0,1.15365190346423,0
"RPL7P47",0,0,0,0.104070300509232,0,0,0,0,0,0.832476121814577,1.58590901659988,0.766757354362589,0,1.53916632192878
"RP11-452F19.3",2.49676208244058,3.35281106024965,2.23155467280187,1.66413910552413,2.60890257617901,2.22207726099351,2.181690799782,2.38043952335165,2.10114065133838,1.7146457059625,1.99178468410356,1.36638816597523,2.36473686566154,2.02833977525965
"MFI2-AS1",0.782951534914173,1.4478805328293,2.08213992424835,1.64701236945604,1.05225401228101,1.13871722757863,0.848634846624772,0.801078806035642,1.1497133397636,0.623409594946634,0.269428355484675,0.862628451169248,0.806090163404083,0.833543879090981
"AC007952.5",0,1.56241103406185,0.672709519361798,0.571638023885327,0,0,0,0,0.314684473678615,1.05729312151973,1.61037001160884,0.494849838240619,0.493908040916376,0.793420575114815
"RNF144A-AS1",0.848573386512082,0.561541498742534,0.481343008956983,1.13541976638191,1.00479391983332,1.17756331678237,0.18074113958517,0.11435274365209,2.3627709843797,0.443968448457897,1.01909745884322,0.609831494124346,2.13819863759391,0
"RP11-778D9.4",0,0.0356865272215427,0,1.79429149914888,0.181701660739153,0,0,0,0,0.678584424063416,1.12475711289702,1.36638816597523,0,1.38570357548861
"ATF4P3",0,0.0356865272215427,0,0.0529733492235183,0,0,0.18074113958517,0.220303414840357,0.0853361371976125,1.74080547550783,2.50366947580846,1.95017668152272,0.0949689349863333,2.02833977525965
"HCG11",3.92340910241174,4.00690679776834,3.59564615290367,3.98282987966475,3.1784365435597,3.62028199257062,3.20291292410884,2.4031157501778,4.31395829868168,4.91588555488288,4.59093973906106,4.85503010369495,3.19614892277368,5.08509197788381
"NACAP1",0.310591196650627,0,0.0922170564269868,0.247324629971596,0.0937095162488722,0.623710706299796,0.34133913513705,0,0,0.971523030455157,0.905083669903101,0.952523697322758,0.184070550463909,0.872581427852167
